"username","description"
"JohnSam57668631",""
"luv_drones","i'm fascinated by drones, look to me to help you aggregate everything drones"
"RepGregSteube","Husband, father, veteran, proudly serving Florida’s 17th District on @WaysandMeansGOP @JudiciaryGOP @Weaponization"
"jneen_sez","For unto us a Child is born, Unto us a Son is given; And the government will be upon His shoulder. Isaiah 9:6 Jesus is our Prince of Peace. :latin cross:"
"srqtommy",""
"AudreyMacClell1","Florida Eco-Tour Guide and 3rd gen. born
I'm just a Lil' Gator. Strong Republican and I proudly support our President of the United States, Donald John Trump!"
"ekstrunck",""
"jazzmanfla50","Brilliant but respectful of those who have knowledge I don’t possess!!"
"jthibeault1",""
"kdcnett","Independent Equity and Options Trader"
"thefool1979",""
"ToddBohannon","“We who believe in freedom cannot rest.” ~ Ella Baker"
"GlobalUnion3","Eternal Optimist, Positive Thinker Plus"
"Jooled","Chickens, garden, food, politics, pretty much in that order. Alaskan living in Arizona. #resistance"
"aknature",""
"StinsonTimothy",""
"Beatlebaby64","In emergency-call a Priest|God Bless The Beatles|Pray for unborn & aborted babies|End political correctness & entitlement|God Bless President Trump|Footprints"
"jimbowilstone","love sports...politics....TV...former Republican"
"AKalicinski","I build stuff. Well I don't build it, I simply envision it and make it happen. #engineer #traveller"
"MarkSmith75z","A concerned American.
Independent (I). Conservative.  Pro-vaccine."
"_ChrisPatton_",""
"ElkeHollings","Duke :rainbow: and Luna just doing what she can to make the world a better place.... oh and to get more treats each day. Mastodon @VOTEFORDEMOCRATS@ohai.social"
"TheFlaVoice","A community platform you can trust."
"Defacto222","Not now"
"DavidJNeal","Journalist since 1986. Walking non-sequitur. Retweets aren't endorsements. Eating is a pleasure in which I indulge with enthusiasm. #OneHeraldGuild #ReadLocal"
"GuySouthaustin","Left of center,1/2 a bubble off plumb, love local food & music in whatever land you stand"
"FishingFlamingo","Full time guide in Everglades and Biscayne National Parks. Est 1998. Father of three Wonder women. #SAVETHEGLADES"
"FWCRIC","FWC's technical research library with an extensive scientific catalog and publishing services; located @MyFWC in St. Petersburg, Florida."
"GMENburner","“Winning is what happens when commitment, desire, talent, preparation, hard work, and leadership all come together.” Tom Coughlin"
"NSkyeMcCloud","Author of nonfiction in entertainment industry, National Wildlife Federation Habitat Steward CERT Basic Training Instructor Proud Highlander heritage"
"BrandonPowe2","I provide reliable weather information."
"dronekard","Explore #drones daily!"
"LaCalcadaBarres","I always smell books"
"xavguzm","Sustainability Strategy, Responsible Investing, Impact Investing, ESG, Circular Economy, Renewable Energy, Climate Change, Biodiversity"
"hey_leia","Ad director/copywriter (former life) * RTs are whim-based * #TCMParty"
"timkephart33","Digital journalist & Mizzou Tiger. Links and retweets are not endorsements."
"ParableJean","I live in a failed state . #ButHerEMails . #AnimalRights #Ecocide Republicans are sick in the head"
"VicBlue3","Loving what is & working for truth, self-realization; art junky; Certified Facilitator in The Work of Byron Katie; PhD in Transportation Systems"
"CassExplains","Listen to my interview with Marc Summers here:orange heart:: https://t.co/bx0dkTgXKb"
"SarasotaSnook","Single Christian living in paradise. Classic Rock lover and record collector."
"RayRespassIII",""
"MoylesJay",""
"RONCOULTER","News and political junkie. Exiled to Florida, but my :red heart:'s in Ashtabula."
"bobbydevito","Student, Buddhist, Human Being. Free Tibet advocate and supporter of His Holiness the Great 14th Dalai Lama. May all sentient beings be free from suffering :folded hands:"
"Pmcknightnews","Associate Editor for @medscape :woman technologist: medium skin tone::memo:"
"trueblonde27","advocate, learner, educator, survivor, foodie, INFJ, leftie :raised fist: medium-dark skin tone::face with medical mask: :syringe:#PowerToThePeople #StopEndlessWars #InvestInUs #RadicalCompassion #AbolitionForAll"
"VoteForChanges","It’s only a democracy if you participate :raised fist: dark skin tone::raised fist: medium-dark skin tone::raised fist: medium skin tone::raised fist: medium-light skin tone::raised fist: light skin tone:#BreonnaTaylor #BlackTransLivesMatter Justice At Fort Hood #JusticeForElijahMcClain #PardonRealityWinner"
"pedroiafan","CLIMATE CRISIS must be our top priority"
"DianaCialino","#AntiFascist, :water wave: :water wave: :water wave: #PackTheCourt :water wave:@Glennkirschner2 #BLUEWAVE2022 #BLM #TheResistance #ProChoice #BidenHarris #LGBTQ Ally :blue heart: :blue heart: :blue heart:#MeidasTouch"
"JonPaulBrooker","Director of Florida Conservation for Ocean Conservancy @ourocean, Sixth Generation Floridian, Environmental Lawyer, Eagle Scout, Personal Account."
"moriartydg","History loving, dog hugging, Left handed nearsighted JFK Army Veteran If you remember the Sixties, you probably weren't There..Call me BULLWINKLE"
"JuanSaaa","Former Undocumented Immigrant. Politics/National Parks. :flag: Venezuela:•:flag: United States: — opinions are my own  https://t.co/YUvtqfFZzg:cloud:"
"PRANGELMARMOL","¡CARPE DIEM! Especialidad y Maestría en la UANL México. Doctor en Ciencias Gerenciales. Profesor de la Universidad del Zulia"
"GlennJa55385062","Old man/Cool sport.  Democrat. Fish to live !! Husband, Father, Saints fan,"
"Celestebyrne3",""
"PlantsSociety","Champion of failed Horticulture"
"KeyWestGwen","Covering the Florida Keys for @WLRN. All-purpose reporter with a standup comedy side hustle @comedykeywest. gfilosa@wlrnnews.org https://t.co/Am0xin6wBA"
"RoachSavana","Trinidadian in the Sunshine State :flag: Trinidad & Tobago: | Digital Organizer w/ @FCVoters | 2x @floridastate alumna, MSc in GIS | Verso l’Alto | opinions are my own."
"SurfersWarehous","Surfers Warehouse:trade mark: is a family-owned busines here to fulfill all your surfing lifestyle needs. We'll see you out on the water!"
"firstlastsecond","Member of the Atypical Grandmother's club- Mother, grandmother, designer -  proud I supported Hillary - Kamala Harris is the VP of the United States!"
"sparkette123","The only good @GOP is an unelected @GOP .. A MI girl living in a Florida World. ... #BlueWave2024 #Resister."
"robert_hove","#BlackLivesMatter #LGBTQ ALLY:rainbow flag::transgender flag: #StandWithUkraine:flag: Ukraine: photography, art, poetry, jazz, progressive politics. Norwegian-American,Michigander. no DMs."
"EspeOppenheimer","retired teacher Early Intervention /Special Education #resist #voteblue stay off my feed if you support the vile morally bankrupt #TrumpIsACriminal"
"CombatRedTide","Just a citizen trying to beat the system and combat red tide: save precious natural resources from development and agriculture."
"fullmoonprods","The girl with the golden ear. No DMs, please."
"FatBoyWillie1",":rainbow: Friend to all..My human people rescued me from life on the street... Lying liars lie..I will bite the hand that feeds me !! Native Miamian (I/Me/Mine)"
"Mom0U812","get ready to vote every single GOP member out!  No lists please!"
"eyemagistus","I see thru eyes of the dead. I write stuff. #Persist #BlueTsunami2022 #NeverAgain #PinkWave #Science #BLM #Women :writing hand: medium-light skin tone: #HandMarkedPaperBallots :writing hand: medium-light skin tone: :prohibited:DM’s, FB"
"helloamygarner","Helping HSPs by day – tweeting furiously about the state of #animalwelfare #climate #environment by night...

https://t.co/7KAPH8panb"
"BetweenTheSun","Anna Le Doux writing & walking. Supporting You living Your dream:seedling:#Guardian #Alchemist #Unity #SunBathing #Mermaid #Author of #Magick #Fantasy:dragon:"
"VeggieMom3","I RT A LOT.  Single mum, incapacitated by #chronicpain. she/her #spoonie #BLM!"
"AlgaSci","Combating Algae Blooms worldwide."
"DelaneyKirk","Professor Emeritus. Studying Italian & Spanish. Mah Jongg player. Ailurophile. Watercolorist. Married with 2 Ragdoll cats. Learning to play the piano."
"aydaniels",""
"oneprotestinc","Fighting for justice for all earthlings through protesting, investigations, educational outreach, and community empowerment."
"toodles521","It is only possible to live happily ever after on a day to day basis. -- Margaret B."
"JustinRogersTV","Photojournalist @BN9 | Formerly @WFLA, @WFTV, @WSAZnews, & @wvgazettemail | Alum @WVStateU | RTs ≠ endorsements."
"NascarGrl77","I am a huge fan of racing, love Chicago Bears, Chicago Cubs, and Chicago Blackhawks!"
"GaterMit","Amy Covid Barrett got me in Twitmo one week before the election:unamused face:| Mitigatingfactors | Boosted House of Moderna | #BidenHarris2020 #MaskUp #TrialWatcher"
"TonyHackPhoto","“You are as good as the best thing you’ve ever done.” — Attributed to Billy Wilder (1906-2002) by Jack Lemmon (1925-2001)"
"LTrctrc","Beat cancer w chemo but have neuropathy and other debilitating issues as parting gifts. See GFM 4 details
https://t.co/sf3irP0jfg Humbled by the support :pensive face:"
"wjbowden33","#WeStandwithUkraine,:flag: Ukraine::blue heart::yellow heart:
    r/AstrologyLesson, 
Learning Astrology the Basics of Our Own Birth/Natal Charts Together"
"sincerely_steff","#TeamMuir, Pedro Pascal stan, Grogu Djarin's nanny, Frequent (Re)Tweeter of news; BA in Biology"
"GulfsterReport","Your source for gulf surf since 2002."
"liamRstarr","TREAT OTHERS THE WAY YOU WISH TO BE TREAT IT... LIVE FREE DIE FREE... 
born 12/23/1989 time 7:34 pm
25% Shashane Indian live in USA,FL AM Q .
TRUMP SUPPORTER."
"VoteFLGQPMOBOUT",""
"cjjohns1951","Criminologist, storyteller, actor, writer, painter #HandMarkedPaperBallots/Ph.D. Faculty of Law, University of Edinburgh, Edinburgh, Scotland, Books on Amazon"
"Ndzerika",":flag: Lithuania::flag: Lithuania::flag: Lithuania:
:cherry blossom:21 y.o"
"DylanAbad13","WFLA Digital Content Producer"
"happylaura","Creative noticer, thinker, oh and happy by the way. Embrace friends, learning, writing, books, and #education and #technology. #plteducator with U of FL"
"joel_ALRE","$JRnderos :artist palette:, :automobile:, :books: and :house:,Open to new opportunities and ready to learn. I believe every human  has a chance to change people's else lives."
"Southern_Living","Instant recipes, decorating ideas, gardening tips, and travel destinations for Southern life."
"LogicalNancy","My passions are many but the most significant? Our environment. We've trashed earth. But together, we can all do the right thing for our children, their future."
"haltman","Senior staff writer for @thewarzonewire, former MilitaryTimes senior managing editor, military reporter @TB_Times"
"Chrystalos","Because 5 minutes after you read this you won't remember what you've read."
"elizabethcav07","Interior Designer, Fashionista, Fan of The Arts, Mom to 3 Wonderful Sons, Chef, Baker, Blogger, Travel Diva, Lover of Animals and Huge Bruin Fan."
"rm5711riverbend","I block MAGAts. NO LISTS .Get Vaccinated. Go Red Sox. BLM .Vote Blue.Abolish the Electoral College."
"QPTechnologyUS","We developed the first quantum level products and processes that fundamentally changes radioactive and hazardous metals into a stable form."
"typo_cat","A realist with no time for make-believe. I don't 
follow bought checkmarks. Adopt don't shop :dog: 
#ClimateCrisis:globe showing Americas: Save the bees.:honeybee: #Resister"
"GinaLawriw",""
"SueRMichael","When those who should care... don't! We must take extra care!
#FLBlue #BidenHarris #VoteBlue #NoDMs #photography #sunset #sunrise #shorebirds #Eagles #Nature"
"FLRising","Independent org working to increase the voting and political power of Florida's black and brown communities."
"AFSCFL","𝐖𝐞 𝐚𝐫𝐞 𝐟𝐢𝐠𝐡𝐭𝐢𝐧𝐠 𝐟𝐨𝐫 𝐢𝐦𝐦𝐢𝐠𝐫𝐚𝐧𝐭𝐬, 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐣𝐮𝐬𝐭𝐢𝐜𝐞, 𝐚𝐧𝐝 𝐣𝐮𝐬𝐭 𝐞𝐜𝐨𝐧𝐨𝐦𝐢𝐞𝐬! :megaphone::raised fist: medium-dark skin tone::seedling:"
"ZooTampa","AZA accredited. Join us in our mission to preserve and protect wildlife, both locally & globally!"
"precisionbehavr","Precision Behavior: Behavior Excellence that Changes Lives! Through mastery of positive reinforcement concepts, we transform corporate and animal environments."
"WazzuCrew11","WSU Alumni! #GoCougs.  Fan of the SF Giants, 49ers & Warriors. 98% Sarcasm 4% Truth..Trust me its Coug math. 
Likes =/= endorsement idiots"
"AllClamsOnDeck","Restoring Estuaries And Growing Coastal Economies Of Tampa Bay, Sarasota Bay, and Charlotte Harbor"
"BourbonGator84","SwoopSZN"
"JamesRo44948233","humor, laugh, don't take it seriously, life is short then you die!"
"AirAcademy","Observer, commentator, unbiased, impartial, and fare minded on all subjects. :globe with meridians:"
"Formula_Box","Formula 1"
"tlordi","Avid Equestrian, developer, animal rights voice, and designer"
"ValezkaSNN","Reporter - Multimedia Journalist @SNNTV | @USouthFlorida Alum | #GoBolts | :high voltage:️:collision:"
"Malachi5Joshua","LEO :lion: Gemini:Gemini:twin of CHRIST
JESUS & JOSHUA
JEHOVAH'S WITNESSES"
"tattoo_n_gamble","Brand ambassador officiallucky13"
"mahmud_hedayet","Travels:airplane: Beach:beach with umbrella: Sunset:sunset:
Digital Services | Digital Marketing
Voice Over | Logo Maker
Website Design | SEO
WordPress | Social Media Marketing"
"Seasteading","We're a nonprofit working to enable floating cities which will give people the opportunity to peacefully test new ideas about how to live together. #seasteading"
"DaggerOwlShield","1 4๓ 0ຟl | She/Her :transgender flag: | 518 

#AI #AGI | #Gratitude :folded hands:

@CalemJohnSmith :black heart: 
@fr3q_m33k 🫡 
@zerozed_x0z :balance scale:"
"JeromeOLLIER","Rédacteur multimédia / Multimedia Writer. Centres d'intérêt : #océans, #environnement, #musique, #espace, #nouvellestechnologies, #histoire et #archéologie..."
"Beckyverdeja","catholic wife & mother; :flag: United States:"
"laurenwalck","Executive editor of @BradentonHerald at @McClatchy. Formerly @SunHerald, Gannett. Alum of @LSU @PhantomRegiment @SpiritofAtlanta"
"TCPEnvironment","Breaking and in-depth environment coverage from @TCPalm journalists along Florida’s Treasure Coast :deciduous tree:"
"christisch1","Breaking News Editor at the Tampa Bay Times and https://t.co/pf5u5evtvO. Wisconsin native, Northwestern grad, dad to a precious boy. he/him"
"chugs1222",""
"LisaCRadio","Murrow award-winning former nat’l anchor for NBCNewsRadio in #ATL by way of KC w/ :eyes: on FL, Chiefs fan, avid collector of memories :beach with umbrella::smiling face with sunglasses::dolphin:"
"FNFlirtyDoc","#UCF #FLAgirl #smartwomancaucaus #KHive Whole Foods, Coastal Elite, Centrist, Dem:face with rolling eyes: my personal views do not reflect those of my employer."
"ItIsMeLilyBee",":prohibited:DMs please. (she/her)"
"Cerydwyn13","Author, retired RN, seeker of mystery, storybook cottages. & forest solitude. Reader, genealogist, history nerd, runner, knitter, gardener, music lover."
"LynHewitson","I am a 66 yrs old romance freak, reading books :books: of it since 13 yrs, FSOG x 5 my fave, moved to Spain in July 16 love it, I'm a card crafter and love horses."
"judithzeilenga","Retired Teacher/Learner/Writer/Poet/Author of Periwinkle’s Chair. Canadian born :flag: Canada: #writingcommunity #poetrycommunity"
"GabrielaSzyman3","Opinions/Tweets are my own.
@Report4America corps member for @HeraldTribune
Previously reported for The Clarion Ledger
Graduate of @UTKnoxville"
"DouglasSoule","Statewide government accountability reporter for @USAToday Network — Florida :palm tree:// Last stop: @mtnstspotlight via @report4america :mountain:// WV native"
"FloridaPoison","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement"
"LadyBirdRose2","“There’s power in the name of Jesus Christ of Nazareth”...Praises go up and Blessings come down...Never judge a book (people) by it’s cover..Jesus Loves You!"
"spann","AMS Certified Broadcast Meteorologist. WeatherBrains host. Instagram: spannwx"
"Ssimms777","Democrat. Truth. Justice. Choice. Equal pay. Civil rts for all. Climate change. Keep Obamacare, SocSec, Medicare. Wife, mom, Mimi. #RESIST"
"michaelwhitewx","Meteorologist at WALA-TV Fox10"
"Flo_rinse","Liberal & proud! Priestess of Positivity! Love sports! Polyglot! Studying multiple religions. Adore nature, animals, champagne, single malt & Bourbon!"
"leod46","Healthly Foods Cook CoCoRah' s reporting, Official NWS Paducah precip and high and low temp station. Weather Spotter  Chicago Cub & Bear Fan  Retired. Liberal"
"kal_zod420","Kneel before Zod

I identify as a meat popsicle my pronoun is super hunky"
"vannschaffner","#TCOT/Pathologist/Navy Medicine 1984-1992 This account represents only myself, no employer or org. No medical advice. Truth/GETTR/ Parler/Gab=@Pathman"
"pportalphoto","Photojournalist @elnuevoherald, @miamiherald, @ICFJ #Fellow 2017. RT's not endorsements, @pportalphoto"
"thebrittanyjea","UF Alum • Former Pro Cheerleader • Law Student President of the Tampa Bay Young Republicans • Fmr Team @ashleymoodyfl"
"ChadSteingraber","Professional Game Designer, Artist, self taught Biologist & Taylor Swift GIF poster"
"CRMpatterson","I love SyFy & crime dramas. Think that there can be peace, not really, but gotta try! FT mom/wife/daughter/friend/employee of @FloridaPoison"
"JoeAuten","Tax the rich, feed the poor. Till there are... #BLM #M4ALL #FreeAssange #TaxTheChurches Atheist, Democratic Socialist, Progressive
https://t.co/jKkL769TJi"
"wusfschreiner","Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing."
"gabriole1","LEED AP BD&C, CSM (Corporate Sustainability Manager). Climate Change, Resiliency & Circular Economy educator"
"garyglx5","Chicago - Great Lakes Now, an initiative of Detroit Public TV. Occasionally, book reviews. No expectations. No awards. Tweets, mine."
"RicherThanYou70","JFK Dem. Constitutionalist that votes GOP. Millionaire. Not a Trump supporter. I speak softly but carry big ass stick. I don't care about followers or following"
"MonicaLewisPat2","Multitalented and super kind"
"EddieGreatLakes","Great Lakes Engineer/Scientist.:rainbow flag:. Yooper at heart. he/him. @freeboardtech @limnotech, @iaglr Past President. dog dad. clean lakes are my passion."
"adaure","Reporter @10TampaBay X @WFMY X Anchor @Wcti12 @silverbirdtv X-West Africa Correspondent @eNCA @AriseTV XVJ @Reuters TARHEEL.Tweets:person raising hand: medium-dark skin tone:.RT:prohibited:endorsement :flag: Nigeria::flag: United States:"
"mariamar625",""
"TurquoiseOceanB","Bipartisan politics, love for the Ocean. Missed my previous followers. Update: Got account back after Twitter verified by phone not from a lost email."
"MySingleVoice","Human Rights 4 All
Retired RN Tree Hugger Animal Lover 
Spirituality is Within, Not a Building
#ClimateActionNow #MyBodyMyChoice, #Resist, #BLM #FlyEaglesFly"
"sandy_k65","""""I am no longer accepting things I can not change. I am changing things I can not accept"""" :hundred points:"
"RonBrannon76","Blue collar worker. Trying to function in the strange new world."
"obewonkenobe",""
"Coop_a_loop80","Don't take life too seriously you'll never get out alive. :smiling face with horns::fire::smiling face with horns:"
"LisaStortstrom","Activist Chair of the Environmental Democratic Caucus of Sarasota County, Teacher at Access Your Abilities, LLC."
"cookinmaama",""
"JamesDStokes7","Pentagon Declassified
Almost 3 years ONLY working for them
started off as China Expert
recently promoted :sparkles::star:  
enemy is this :cookie::face with symbols on mouth::musical score::repeat single button::goblin::footprints::nail polish::performing arts::pager:me:right arrow::crossed flags::person fencing::magnet::chart decreasing::mouse trap:U∆"
"aradiant1899",""
"mikehawkerulz","USA Lovin Steeler Lovin Buckeye Lovin Reds Lovin Celtics Lovin Trump Supporting Rebel U of A Graduate!Ultra MAGA FJB"
"star777_blue","Elohim Emerald Order Violet:fire:ORD:red heart::dragon face::red heart: Child of Love:high voltage:️Seidr:high voltage:️:crystal ball::eye: Quetzalcoatl:dragon::green heart: Ocēlōtl:leopard::crown::orange heart: Elven:sparkles::white heart::sparkles:Master of Many Lives:unicorn::growing heart: BlueStarKachina:glowing star:"
"troy_nate","Photographer, Traveler, Writer...... troy.nate@yahoo.com Go U.C.L.A. Bruins!  Retweeting is not a political endorsement..BUT I might like your IDEAS.  Open."
"CarylLynLewis1","Love the Gators!:crocodile: CHOMP!! CHOMP!! :crocodile:Love Barbie Dolls!"
"FedupMF","Pissed off Girl Dad, tired of all the bullshit and lies.  Concerned citizen, Commercial Banker/Consultant/Project Manager.  Sports fanatic - my reality TV."
"tcblues","Volunteer in your Community, someone has to do it. Tupperware keeping it fresh!!"
"AustiGaming","20, Likes: cute stuff, Xenoblade, Pokemon, Mario, Sonic, Kirby, Smash Bros, etc.  Play Xenoblade/Bug Fables SW-0958-6933-3484"
"spaethon","Neon Night Racer - God is Great, Parent, Artist, Author, Conservative, Cats, Poison Dart Frogs, 2A Absolutely, No Communism, America FIRST, Get Off My Lawn :flag: United States:"
"Richard65956798",""
"DivaDchelle","Fully vaxxed.. Masks are mandatory for me!"
"Pasco_FL_OEM","Official Twitter account for Pasco County Emergency Management - a team of professionals dedicated to sustaining disaster resiliency. Dial 911 for emergencies."
"leahabrahams1","An island girl that loves desserts & her bed. Trying to accomplish my dreams; follower of God and mommy to 2 four legged children."
"PattieAnn5","Fmr HS Sp Ed Teacher, Mother of 2, 4 G-sons (1 set of twins), PO daughter, on a beautiful lake in N MI, :blue heart: LEOs, :blue heart:K9s, :blue heart:Police Horses, #OPLive #RESPECT"
"gatoraddie","#PublicWorks visionary, former #City/#CountyEngineer, #PastPresident @FSASCE, Nationally Recognized @ENR_SE @FCCManagers & @csENGINEERmag, #Spartan #Gator"
"jackaberlin","CEO, Software Company - Blue Devil - Yellow Dog Democrat #IFB #FBR"
"theashleyjn","My account is mostly jokes, pop culture, and political posts. Once in awhile I'll blog (she/her)"
"UnLearnPhD","I wonder if the gate was put up to keep crime out, or keep our ass in?"
"sammitchh101","Studio/Social Media Manager @AFA_Air_Space :movie camera: Dog mom :paw prints: Fitness geek :woman running: medium skin tone: Foodie :burrito: Proud FSU & Ole Miss alum :graduation cap: Tampa native :palm tree::sun:"
"MistralLindy17",":unicorn::water wave::rainbow flag:Liberal. Veteran #DUMPtRUMP #Resistance #NoStigmaForMentalIllness #BiSexual #MeToo #BlackLivesMatter #JamesSpader My Fun acct @LSpaderlover"
"FloridaSBDCN","State designated as Florida's principal provider of business assistance, the Florida SBDC provides tools & expertise to help Florida's small businesses succeed."
"Wendilanetv","TV Reporter @wfts Iowa grown #GoHawks in Florida, loves animals, dogs, cooking #vegan, wine, travel, and trying to make a positive difference in the world."
"KeysTreasures","Florida Native living in the Fabulous Florida Keys"
"CRLamhooper","Community Relations Liaison at Duke Energy on Florida's Nature Coast. Tweets and opinions are my own."
"tony_kaelin","Structuring Director - Duke Energy Sustainable Solutions"
"GregLeftGville","I am Greg. I lived in Guntersville. I left Guntersville. I fish from a kayak."
"30atv","Follow here @30abuzz !!"
"ViolaLeeBluz","That’s QUEEN C*NT, to you!!:crown::nail polish: light skin tone::relieved face: Get your D cups in a twist, leech!!:face with tears of joy: While Moley Danny DeVito Penguin melts more face off instead of waist:face with tears of joy::hot beverage:️"
"sharynski","Advocate for liberal arts, serious reform of student loan program & restoring original mission of HEA. Conservationist, recycler & vegan."
"BigEarthSupply","Great service, excellent selection & competitive pricing, with locations in Bradenton, Sarasota, Palmetto and Tampa, for all your landscape needs."
"A6thSense","People have a fundamental delusion that there is something out there that will make them happy and fulfilled forever. It’s not. Get Money. ΩΨΦ:purple heart::yellow heart::dog face:"
"Merican_Muse","Semi-satirical political commentary. #ClassicRock #HeavyMetal #HardRock mostly. Other interests: #Quotes #Nature #Art #Wildlife. R rated."
"jtekmarine","We offer marine electronics installation, service and sales from Vero Beach to Ft. Lauderdale Florida. We are mobile, so we come to you!"
"jamescarrow","Working on some low emissions power, propulsion, and transportation projects right now..."
"PulpNews","The Fastest Crime News Updates on the Planet!"
"virtualperson4",""
"BillWeirCNN","@cnn storyteller covering the fate of life on :globe showing Asia-Australia: 
The Wonder List with Bill Weir now streaming on @discoveryplus"
"harleykatt","and she/her lived not all that happily ever after. Brentford :honeybee:"
"unklekerri","#Queer #BreastCancer #Bipolar #Fibro #ADHD  #BlackLivesMatter #NativeRightsMatter #cannabiscures  heres stuff I find interesting, doesn't mean I agree..."
"TimWronka","Morning Traffic Anchor & Reporter for Spectrum Bay News 9 (@BN9) in Tampa Bay. @FloridaState alum."
"JoanPennnative","Now on Post with same handle. Florida Dem DWCF Indivisible believe the Rule of Law crucial to Democracy & under threat."
"2LuckyLucys",""
"NatureCoastSoul",""
"elallemand","For years, I worked in Sales and Marketing. I Love to chat about new things..."
"PascoCountyPIO","Official Pasco County, FL Gov. page; not monitored 24/7. Customer Service: 727.847.2411. Emergencies: 911. Posting Disclaimer: https://t.co/GFrAjB5qp6…"
"lorstang",":red heart:“Never waste a minute thinking about people you don’t like.”
~Dwight D. Eisenhower~:flag: United States:
Silence is the best response to a fool."
"PascoGovAffairs","The official Twitter page of the Pasco County, FL Intergovernmental Affairs Department."
"C21Tampa","We’re CENTURY 21 Affiliated, a real estate organization obsessed with providing better real estate services for the dynamic real estate market."
"TampaBaysGuru","William """"Bill"""" Zeltman III is your Guru in the Tampa Bay Area. Bill knows the area including neighborhoods, schools, local businesses, restaurants, and more."
"PalmHarborPatch","Local news, alerts, events and more. We’re your source for all things Palm Harbor."
"LargoPatch","Local news, alerts, events and more. We’re your source for all things Largo."
"DunedinPatch","Local news, alerts, events and more. We’re your source for all things Dunedin."
"SouthTampaPatch","Local news, alerts, events and more. We’re your source for all things South Tampa."
"GulfportPatch","Local news, alerts, events and more. We’re your source for all things Gulfport."
"SemHeightsPatch","Local news, alerts, events and more. We’re your source for all things Seminole Heights."
"SHarborPatch","Local news, alerts, events and more. We’re your source for all things Safety Harbor."
"EastLakePatch","Local news, alerts, events and more. We’re your source for all things East Lake."
"LutzFLPatch","Local news, alerts, events and more. We’re your source for all things Lutz."
"PinellasPatch","Local news, alerts, events and more. We're your source for all things Pinellas."
"DMann2_Official","Writer, producer, and sometimes actor. Late Checkout (Coming Soon!), Watchdog (2023). James Bond, Horror, and Doctor Who junkie."
"Chelsea4Florida","Former Supervisor for Brevard Soil & Water Conservation District, Group 3, 2020-2022"
"Tamiami813","Workers’ Comp Strategist • Kids’ Chance of Florida Board Member • Thought Leadership • Brand Positioning • Digital Marketing/Social Media Mgmt"
"danuscripts","Associate Editor, Trending & Features @hearstcmg. I like motorbikes and books. Let’s watch a star war. RT ≠ endorsement. Tips: Daniel.Figueroa@hearstmediact.com"
"FLSportsCoast","Stay, play, and discover what it’s like to “vacation like a champ” in Florida’s Sports Coast. Let’s Play! Share your adventure #FLSportsCoast."
"TarponSprgPatch","Local news, alerts, events and more. We’re your source for all things Tarpon Springs."
"finn3879","The days of me forgetting are over. The days of me remembering have just begun."
"illdoyournails","Tired of Trump’s nonsense! Book lover, coffee lover, wine enthusiast, mom, wife, travel lover #DeSantis2024 :heart suit::heart suit::heart suit:"
"GaryJoh35372924","Visualize , center & transform a pure energy flow , then set it free . Unfortunately there is really no good reason for anyone to follow me . :smiling face with sunglasses:"
"florida_grand","Journalist in exile. Interviewed Brady, Jeter, Tiger, Jordan back in the day. Got banned on Twitter at 75K for calling Fauci a fraud. My TiKTok has 69K."
"TwistedZen69","If you're testing my waters, you better know how to swim.
Adjectives: Stunning & Brilliant"
"daisyjruth","Multimedia Free Agent :pencil: Cat mom :smiling cat with heart-eyes::pouting cat: Fiancée :ring:Duquesne alumna :red heart::blue heart: Lover of wrestling, video games & theme parks (she/her) #HereWeGo"
"jane_flowers_","Author & Photographer 
Please Donate :backhand index pointing right:https://t.co/SWnBcz5221
Please visit https://t.co/W0VymcBvQv"
"ThorntonNiwot","Bass player; prepress/design; contemplating my sins as I await the End Times"
"JasonBeisel","Public Information Officer | Treasure Island, FL. Recovering TV journalist. Indiana guy turned beach enthusiast. (Opinions and views are mine alone)"
"TheRaz2007","Passionate Social Studies Educator, Proud Union Member, James Madison Fellow, TOP Fellow, & PhD candidate. Opinions & thoughts are my own"
"FLbeachrealtor","Realtor in Clearwater, FL. Student of life with interest in all aspects of current  events. lived in 3 countries.  https://t.co/4tVCPcQMdV"
"bluediamondreal","Your Florida Native Real Estate Pro's! 20+ years in all aspects of Real Estate! Florida Residential :houses::house with garden: is our life long specialty! Call us now 727.251.1087"
"topgreyhound","40 years parimutuel industry including Greyhound trainer, sports writer and on-air handicapper. Avid greyhound adoption promoter. No fake news. just the facts."
"usncaptain","Former SAC USAF; Attorney; Author; Physician. #MAGA #NRA #USNavy #BlueAngels #USAF"
"jay_yarbrough","Singer Songwriter :dim button: #songwriting
:globe showing Americas: Energy Antenna :shooting star: Awareness Seeker"
"deenibikini",""
"ttarbox1","Army Vet, Guitar playing Animal lover, Read The Urantia Book, Great Cook. Tampa. Phoenix. Tenn.  San Bernardino. Belton Tx. Ravenswood Wv, van dweller and nomad"
"Goldylions","https://t.co/FIFXioKclp  No DM’s"
